session_id,marker_index,marker_start_s,marker_end_s,marker_midpoint_s,frame_id,frame_time_s,frame_time_error_ms,detection_status,candidate_target_count,detected_x_px,detected_y_px,detected_radius_px,detected_x_normalised,detected_y_normalised,matched_target_id,target_x,target_y,normalised_match_offset,detection_confidence
2025_04_11/012,0,14.411202907562256,16.219943523406982,15.31557321548462,73,15.211411714553833,104.16150093078613,recovered,1,1262.5,711.5,17.600000381469727,0.6575520833333334,0.6587962962962963,inner_bottom_right,0.66,0.66,0.002727856047018324,0.8181429301987784
2025_04_11/012,1,17.2122745513916,19.21287488937378,18.21257472038269,88,18.219661951065063,7.087230682373047,recovered,1,1627.5,161.5,19.600000381469727,0.84765625,0.14953703703703702,top_right,0.85,0.15,0.0023890372051467404,0.8407308529902173
2025_04_11/012,2,20.410601139068604,22.010841131210327,21.210721135139465,103,21.21079683303833,0.0756978988647461,recovered,1,283.5,161.5,15.5,0.14765625,0.14953703703703702,top_left,0.15,0.15,0.0023890372051467677,0.8407308529902154
2025_04_11/012,3,23.42001485824585,25.01966428756714,24.219839572906494,118,24.21959924697876,0.240325927734375,recovered,1,955.5,539.5,13.600000381469727,0.49765625,0.49953703703703706,centre,0.5,0.5,0.002389037205146735,0.8407308529902177
2025_04_11/012,4,26.21958613395691,27.81960391998291,27.01959502696991,132,27.019859552383423,0.2645254135131836,recovered,1,1627.5,917.5,17.600000381469727,0.84765625,0.8495370370370371,bottom_right,0.85,0.85,0.0023890372051467244,0.8407308529902184
2025_04_11/012,5,29.210605144500732,30.618616342544556,29.914610743522644,146,29.820330142974854,94.28060054779053,recovered,1,628.5,355.5,17.600000381469727,0.32734375,0.32916666666666666,inner_top_left,0.33,0.33,0.0027839016697693577,0.8144065553487094
2025_04_11/012,6,31.820361614227295,33.40221166610718,32.611286640167236,160,32.620861530303955,9.57489013671875,recovered,1,1261.5,356.5,18.799999237060547,0.65703125,0.3300925925925926,inner_top_right,0.66,0.33,0.0029701935880853737,0.8019870941276417
2025_04_11/012,7,34.60482454299927,36.410332918167114,35.50757873058319,174,35.40428066253662,103.29806804656982,recovered,1,628.5,711.5,17.600000381469727,0.32734375,0.6587962962962963,inner_bottom_left,0.33,0.66,0.002916259019499153,0.8055827320333898
2025_04_11/012,8,37.612324476242065,39.21431374549866,38.41331911087036,189,38.41175293922424,1.566171646118164,recovered,1,283.5,917.5,17.600000381469727,0.14765625,0.8495370370370371,bottom_left,0.15,0.85,0.0023890372051467517,0.8407308529902165
2025_04_11/012,9,40.412495374679565,42.20354652404785,41.30802094936371,203,41.214030742645264,93.99020671844482,recovered,1,1262.5,711.5,21.600000381469727,0.6575520833333334,0.6587962962962963,inner_bottom_right,0.66,0.66,0.002727856047018324,0.8181429301987784
2025_04_11/012,10,43.40368175506592,45.21350574493408,44.30859375,219,44.41238594055176,103.79219055175781,recovered,1,283.5,917.5,11.600000381469727,0.14765625,0.8495370370370371,bottom_left,0.15,0.85,0.0023890372051467517,0.8407308529902165
2025_04_11/012,11,46.41021752357483,48.01047134399414,47.210344433784485,233,47.21226763725281,1.923203468322754,recovered,1,1627.5,161.5,17.600000381469727,0.84765625,0.14953703703703702,top_right,0.85,0.15,0.0023890372051467404,0.8407308529902173
2025_04_11/012,12,49.21078681945801,50.81096935272217,50.01087808609009,247,50.011242389678955,0.3643035888671875,recovered,1,955.5,539.5,19.600000381469727,0.49765625,0.49953703703703706,centre,0.5,0.5,0.002389037205146735,0.8407308529902177
2025_04_11/012,13,52.203855752944946,54.01065516471863,53.10725545883179,263,53.21041750907898,103.16205024719238,recovered,1,628.5,711.5,13.600000381469727,0.32734375,0.6587962962962963,inner_bottom_left,0.33,0.66,0.002916259019499153,0.8055827320333898
2025_04_11/012,14,55.210962772369385,57.00263953208923,56.10680115222931,277,56.01061201095581,96.18914127349854,recovered,1,1261.5,354.5,18.799999237060547,0.65703125,0.3282407407407407,inner_top_right,0.66,0.33,0.0034508650660073636,0.7699423289328424
2025_04_11/012,15,58.0108003616333,59.80305624008179,58.906928300857544,292,59.003127574920654,96.19927406311035,recovered,1,628.5,355.5,13.600000381469727,0.32734375,0.32916666666666666,inner_top_left,0.33,0.33,0.0027839016697693577,0.8144065553487094
2025_04_11/012,16,61.210511445999146,63.003889322280884,62.107200384140015,307,62.01079320907593,96.40717506408691,recovered,1,1627.5,917.5,25.399999618530273,0.84765625,0.8495370370370371,bottom_right,0.85,0.85,0.0023890372051467244,0.8407308529902184
2025_04_11/012,17,64.4123923778534,66.01535081863403,65.21387159824371,323,65.21049046516418,3.3811330795288086,recovered,1,283.5,161.5,15.5,0.14765625,0.14953703703703702,top_left,0.15,0.15,0.0023890372051467677,0.8407308529902154
2025_04_11/012,18,67.21057367324829,69.00381445884705,68.10719406604767,338,68.20389127731323,96.69721126556396,recovered,1,628.5,711.5,15.5,0.32734375,0.6587962962962963,inner_bottom_left,0.33,0.66,0.002916259019499153,0.8055827320333898
2025_04_11/012,19,70.2029550075531,71.80241751670837,71.00268626213074,352,71.0028657913208,0.17952919006347656,recovered,1,1627.5,161.5,13.600000381469727,0.84765625,0.14953703703703702,top_right,0.85,0.15,0.0023890372051467404,0.8407308529902173
2025_04_11/012,20,73.00355958938599,74.60494565963745,73.80425262451172,366,73.8028507232666,1.4019012451171875,recovered,1,283.5,161.5,19.600000381469727,0.14765625,0.14953703703703702,top_left,0.15,0.15,0.0023890372051467677,0.8407308529902154
2025_04_11/012,21,75.80383396148682,77.59475612640381,76.69929504394531,380,76.60648941993713,92.80562400817871,recovered,1,1262.5,355.5,21.600000381469727,0.6575520833333334,0.32916666666666666,inner_top_right,0.66,0.33,0.0025858732473555027,0.8276084501762998
2025_04_11/012,22,78.79504823684692,80.3975625038147,79.59630537033081,395,79.59523606300354,1.0693073272705078,recovered,1,955.5,539.5,11.600000381469727,0.49765625,0.49953703703703706,centre,0.5,0.5,0.002389037205146735,0.8407308529902177
2025_04_11/012,23,81.59479975700378,83.1939172744751,82.39435851573944,409,82.39449143409729,0.1329183578491211,recovered,1,283.5,917.5,19.600000381469727,0.14765625,0.8495370370370371,bottom_left,0.15,0.85,0.0023890372051467517,0.8407308529902165
2025_04_11/012,24,84.60320448875427,86.2067301273346,85.40496730804443,424,85.40301012992859,1.9571781158447266,recovered,1,1627.5,917.5,19.600000381469727,0.84765625,0.8495370370370371,bottom_right,0.85,0.85,0.0023890372051467244,0.8407308529902184
2025_04_11/012,25,87.40375542640686,89.19851279258728,88.30113410949707,439,88.39415144920349,93.0173397064209,recovered,1,628.5,355.5,15.5,0.32734375,0.32916666666666666,inner_top_left,0.33,0.33,0.0027839016697693577,0.8144065553487094
2025_04_11/012,26,90.39479804039001,91.80233335494995,91.09856569766998,452,91.00387477874756,94.69091892242432,recovered,1,1262.5,711.5,21.600000381469727,0.6575520833333334,0.6587962962962963,inner_bottom_right,0.66,0.66,0.002727856047018324,0.8181429301987784
