visit_label,date,subject_id,session_id,target_label,coordinate_space,paper_qc_status,paper_plot_status,target_settle_time_s,settle_excluded_valid_samples,paper_qc_valid_samples,paper_qc_excluded_samples,target_x_pct_display_width,target_y_pct_display_height,target_eccentricity_relative_coordinate_pct,paper_qc_error_x_pct_display_width,paper_qc_error_y_pct_display_height,paper_qc_omae_relative_coordinate_pct,paper_qc_precision_rms_relative_coordinate_pct,target_x_deg,target_y_deg,target_eccentricity_deg,paper_qc_error_x_deg,paper_qc_error_y_deg,paper_qc_omae_deg,paper_qc_precision_rms_deg,interval_count
Visit 1,2025_04_11,PW78,2025_04_11/012,top_left,normalised,included,included,0.6,86,177,0,15.0,15.0,49.49747468305832,-0.5572033898305129,-3.33901694915254,3.7511219275975067,1.4580359966537397,,,,,,,,3
Visit 1,2025_04_12,QZ00,2025_04_12/005,top_left,normalised,included,target_mismatch,0.6,79,155,25,15.0,15.0,49.49747468305832,8.831909677419352,-25.90914193548387,28.30031158649232,2.10717801838295,,,,,,,,3
Visit 1,2025_04_12,QZ00,2025_04_12/012,top_left,normalised,included,included,0.6,79,137,35,15.0,15.0,49.49747468305832,1.002583941605839,-5.65982481751825,9.534800078960131,1.228835082825043,,,,,,,,3
Visit 1,2025_04_12,QZ00,2025_04_12/014,top_left,normalised,included,robust_centroid_outlier,0.6,111,199,0,15.0,15.0,49.49747468305832,-15.000000000000002,15.000000000000002,21.213203435596427,0.0,,,,,,,,3
Visit 1,2025_04_12,RB76,2025_04_12/020,top_left,normalised,included,included,0.6,78,182,0,15.0,15.0,49.49747468305832,-0.19213186813186733,0.5240164835164818,2.851647990640283,2.8518341705110677,,,,,,,,3
Visit 1,2025_04_12,RB76,2025_04_12/024,top_left,normalised,included,included,0.6,89,179,0,15.0,15.0,49.49747468305832,0.6417877094972047,-3.556430167597763,4.0419151005115905,3.0031454891808522,,,,,,,,3
Visit 1,2025_04_12,SS73,2025_04_12/017,top_left,normalised,included,included,0.6,89,188,0,15.0,15.0,49.49747468305832,-0.8816382978723447,0.86455319148937,2.010606867454437,2.0930631790361676,,,,,,,,3
Visit 1,2025_04_12,SS73,2025_04_12/019,top_left,normalised,included,included,0.6,91,125,0,15.0,15.0,49.49747468305832,-1.1106320000000003,0.5932159999999909,2.1922464421782153,1.065700356903036,,,,,,,,3
Visit 1,2025_04_12,SS73,2025_04_12/027,top_left,normalised,included,included,0.6,84,158,0,15.0,15.0,49.49747468305832,-5.584746835443033,-6.228310126582276,9.455135048558333,4.319883583918893,,,,,,,,3
Visit 1,2025_04_12,SY91,2025_04_12/013,top_left,normalised,included,robust_centroid_outlier,0.6,80,178,0,15.0,15.0,49.49747468305832,-15.000000000000002,15.000000000000002,21.213203435596423,0.0,,,,,,,,3
Visit 1,2025_04_12,SY91,2025_04_12/021,top_left,normalised,included,included,0.6,88,151,0,15.0,15.0,49.49747468305832,-0.40333774834436786,10.333721854304635,10.410299775231648,2.0850049681195943,,,,,,,,3
Visit 1,2025_04_12,SY91,2025_04_12/022,top_left,normalised,insufficient_in_bounds_samples,insufficient_in_bounds_samples,0.6,91,0,122,15.0,15.0,49.49747468305832,,,,,,,,,,,,3
Visit 1,2025_04_12,YR00,2025_04_12/015,top_left,normalised,included,included,0.6,60,101,0,15.0,15.0,49.49747468305832,1.3238613861386084,1.8250495049504933,5.670006994376146,4.621358967829633,,,,,,,,2
Visit 1,2025_04_12,YR00,2025_04_12/018,top_left,normalised,included,included,0.6,80,186,0,15.0,15.0,49.49747468305832,-1.3607258064516126,-5.433301075268815,5.996151119634551,1.7748007321285082,,,,,,,,3
Visit 1,2025_04_12,YR00,2025_04_12/023,top_left,normalised,included,target_mismatch,0.6,65,91,2,15.0,15.0,49.49747468305832,2.790307692307692,-17.268439560439557,18.291196988328835,4.059371527370611,,,,,,,,3
