date,device_id,test_id,test_condition,session_count,subject_count,repeated_subject_count,median_sampling_hz,median_valid_gaze_samples_pct,median_data_loss_pct,median_marker_precision_relative_coordinate_pct,median_marker_accuracy_relative_coordinate_pct,sessions_with_warnings,sampling_change_pct_from_baseline,valid_rate_change_points_from_baseline
2025_04_11,GP3,Acc 10min,unknown,4,4,0,61.30123619416493,67.15033318745343,33.42341642219243,2.7038452423805723,20.96921179144994,4,0.0,0.0
2025_04_12,GP3,Acc 10min,unknown,9,9,0,61.25082237338716,77.41461623209696,23.331514820876524,1.5758373640970078,8.881131192661924,9,-0.08223948472766483,10.26428304464353
2025_04_11,GP3,Acc 60min,unknown,3,3,0,61.34989345445901,77.26300784034213,23.35703138546905,2.9537610317734018,33.88160228792476,3,0.0,0.0
2025_04_12,GP3,Acc 60min,unknown,9,9,0,61.282369466758006,78.7763253449528,21.918301241677163,1.6772875353947305,13.214380993743294,9,-0.11006374078078156,1.5133175046106673
2025_04_11,GP3,Calib & Acc,unknown,4,4,0,61.835519234433434,70.40377126460339,29.613691481328697,2.8391609618696934,10.960826459059133,4,0.0,0.0
2025_04_12,GP3,Calib & Acc,unknown,10,10,0,61.839230890766665,81.60835887826427,18.466905936626116,1.9041861720048063,10.632232026571362,10,0.006002466509836624,11.204587613660877
2025_04_11,unknown,unknown,unknown,1,1,0,61.37846593238516,70.85171360705802,29.66144517433047,4.416472233446057,91.29048947677583,1,0.0,0.0
