session_id,target_recovery_attempted,target_recovery_status,target_recovery_validation_passed,source_video_file,source_video_bytes,marker_interval_count,detected_target_intervals,recovered_target_intervals,recovered_unique_targets,expected_target_intervals,median_normalised_match_offset,max_normalised_match_offset,target_count_signature
2025_04_12/015,True,recovered,True,ext_display_acc_video.avi,15569492,27,27,27,9,27,0.0025858732473555027,0.0031892035057003824,top_left:3;bottom_left:3;centre:3;top_right:3;bottom_right:3;inner_top_left:3;inner_bottom_left:3;inner_top_right:3;inner_bottom_right:3
2025_04_12/016,True,recovered,True,ext_display_acc_video.avi,11568968,27,27,27,9,27,0.0024513071913956036,0.0031892035057003824,top_left:3;bottom_left:3;centre:3;top_right:3;bottom_right:3;inner_top_left:3;inner_bottom_left:3;inner_top_right:3;inner_bottom_right:3
2025_04_12/017,True,recovered,True,ext_display_acc_video.avi,15829362,27,27,27,9,27,0.0027243671573741477,0.0034508650660073636,top_left:3;bottom_left:3;centre:3;top_right:3;bottom_right:3;inner_top_left:3;inner_bottom_left:3;inner_top_right:3;inner_bottom_right:3
2025_04_12/018,True,recovered,True,ext_display_acc_video.avi,11657978,27,27,27,9,27,0.0024513071913956036,0.0031835279202937442,top_left:3;bottom_left:3;centre:3;top_right:3;bottom_right:3;inner_top_left:3;inner_bottom_left:3;inner_top_right:3;inner_bottom_right:3
2025_04_12/019,True,recovered,True,ext_display_acc_video.avi,11889150,27,27,27,9,27,0.002724367157374172,0.003631645859418837,top_left:3;bottom_left:3;centre:3;top_right:3;bottom_right:3;inner_top_left:3;inner_bottom_left:3;inner_top_right:3;inner_bottom_right:3
2025_04_12/020,True,recovered,True,ext_display_acc_video.avi,15914570,27,27,27,9,27,0.002724367157374172,0.003631645859418837,top_left:3;bottom_left:3;centre:3;top_right:3;bottom_right:3;inner_top_left:3;inner_bottom_left:3;inner_top_right:3;inner_bottom_right:3
2025_04_12/021,True,recovered,True,ext_display_acc_video.avi,11547250,27,27,27,9,27,0.0025858732473555027,0.0031892035057003824,top_left:3;bottom_left:3;centre:3;top_right:3;bottom_right:3;inner_top_left:3;inner_bottom_left:3;inner_top_right:3;inner_bottom_right:3
2025_04_12/022,True,recovered,True,ext_display_acc_video.avi,10959788,27,27,27,9,27,0.002727856047018324,0.0034508650660073636,top_left:3;bottom_left:3;centre:3;top_right:3;bottom_right:3;inner_top_left:3;inner_bottom_left:3;inner_top_right:3;inner_bottom_right:3
2025_04_12/023,True,recovered,True,ext_display_acc_video.avi,10379446,27,27,27,9,27,0.0027243671573741477,0.0031835279202937442,top_left:3;bottom_left:3;centre:3;top_right:3;bottom_right:3;inner_top_left:3;inner_bottom_left:3;inner_top_right:3;inner_bottom_right:3
2025_04_12/024,True,recovered,True,ext_display_acc_video.avi,11639864,27,27,27,9,27,0.0025858732473555027,0.0031892035057003824,top_left:3;bottom_left:3;centre:3;top_right:3;bottom_right:3;inner_top_left:3;inner_bottom_left:3;inner_top_right:3;inner_bottom_right:3
2025_04_12/025,True,recovered,True,ext_display_acc_video.avi,16316674,27,27,27,9,27,0.0025858732473555027,0.0034508650660073636,top_left:3;bottom_left:3;centre:3;top_right:3;bottom_right:3;inner_top_left:3;inner_bottom_left:3;inner_top_right:3;inner_bottom_right:3
2025_04_12/026,True,recovered,True,ext_display_acc_video.avi,14523658,27,27,27,9,27,0.002724367157374172,0.0031892035057003824,top_left:3;bottom_left:3;centre:3;top_right:3;bottom_right:3;inner_top_left:3;inner_bottom_left:3;inner_top_right:3;inner_bottom_right:3
2025_04_12/027,True,recovered,True,ext_display_acc_video.avi,11912230,27,27,27,9,27,0.002727856047018324,0.003183527920293794,top_left:3;bottom_left:3;centre:3;top_right:3;bottom_right:3;inner_top_left:3;inner_bottom_left:3;inner_top_right:3;inner_bottom_right:3
2025_04_12/028,True,recovered,True,ext_display_acc_video.avi,11562116,27,27,27,9,27,0.002727856047018324,0.0034508650660073636,top_left:3;bottom_left:3;centre:3;top_right:3;bottom_right:3;inner_top_left:3;inner_bottom_left:3;inner_top_right:3;inner_bottom_right:3
2025_04_12/029,False,missing_marker_intervals+missing_video_timestamps+video_file_too_small,False,ext_display_acc_video.avi,5686,0,0,0,0,27,,,
2025_04_12/030,True,recovered,True,ext_display_acc_video.avi,11448390,27,27,27,9,27,0.0025858732473555027,0.003404553777207358,top_left:3;bottom_left:3;centre:3;top_right:3;bottom_right:3;inner_top_left:3;inner_bottom_left:3;inner_top_right:3;inner_bottom_right:3
2025_04_12/031,True,recovered,True,ext_display_acc_video.avi,11478814,27,27,27,9,27,0.0025858732473555027,0.0034508650660073636,top_left:3;bottom_left:3;centre:3;top_right:3;bottom_right:3;inner_top_left:3;inner_bottom_left:3;inner_top_right:3;inner_bottom_right:3
2025_04_12/032,True,recovered,True,ext_display_acc_video.avi,11493928,27,27,27,9,27,0.0025858732473555027,0.0031835279202937442,top_left:3;bottom_left:3;centre:3;top_right:3;bottom_right:3;inner_top_left:3;inner_bottom_left:3;inner_top_right:3;inner_bottom_right:3
