session_id,date,subject_id,device_id,test_id,quality_status,coordinate_space,effective_sampling_hz,valid_gaze_samples_pct,data_loss_pct,marker_precision_relative_coordinate_pct,marker_accuracy_relative_coordinate_pct,target_recovery_status,recovered_target_intervals,target_settle_time_s,quality_flags
2025_04_12/015,2025_04_12,YR00,GP3,Calib & Acc,warn,normalised,61.83920029135536,56.48338120640132,43.539786710418376,2.478387231760921,45.6757601065846,recovered,27,0.6,low_valid_gaze_rate;high_data_loss;gaze_out_of_bounds;gaze_video_duration_mismatch;incomplete_metadata;unknown_calibration_error_unit
2025_04_12/016,2025_04_12,NM84,GP3,Acc 60min,warn,normalised,61.324291560672805,81.56002212797344,19.11119239209949,1.6560884748969151,24.280891171154686,recovered,27,0.6,long_sampling_gap;gaze_out_of_bounds;incomplete_metadata
2025_04_12/017,2025_04_12,SS73,GP3,Calib & Acc,warn,normalised,61.84080036219388,84.93741021957726,15.080016413623307,0.8204387433422886,5.467440300477806,recovered,27,0.6,gaze_video_duration_mismatch;incomplete_metadata;unknown_calibration_error_unit
2025_04_12/018,2025_04_12,YR00,GP3,Acc 10min,warn,normalised,61.2234745332325,77.41461623209696,23.331514820876524,1.3404662262803912,8.366744842707604,recovered,27,0.6,low_valid_gaze_rate;high_data_loss;long_sampling_gap;gaze_out_of_bounds;incomplete_metadata
2025_04_12/019,2025_04_12,SS73,GP3,Acc 10min,warn,normalised,61.187931171831224,80.66630256690334,20.1765447667087,1.3810545171107538,6.521968466445628,recovered,27,0.6,high_data_loss;long_sampling_gap;gaze_out_of_bounds;incomplete_metadata
2025_04_12/020,2025_04_12,RB76,GP3,Calib & Acc,warn,normalised,61.839582058806286,84.65011286681715,15.367254821501847,1.807653048738996,7.473243073536021,recovered,27,0.6,gaze_video_duration_mismatch;incomplete_metadata;unknown_calibration_error_unit
2025_04_12/021,2025_04_12,SY91,GP3,Acc 10min,warn,normalised,61.22819607804454,75.80406654343807,24.931356397583745,1.6399263181280095,21.094973504020555,recovered,27,0.6,low_valid_gaze_rate;high_data_loss;long_sampling_gap;gaze_out_of_bounds;incomplete_metadata
2025_04_12/022,2025_04_12,SY91,GP3,Acc 60min,warn,normalised,61.294406031223936,71.30036280313156,29.320461858792353,2.1673043752050987,25.358235126335554,recovered,27,0.6,low_valid_gaze_rate;high_data_loss;long_sampling_gap;gaze_out_of_bounds;incomplete_metadata
2025_04_12/023,2025_04_12,YR00,GP3,Acc 60min,warn,normalised,61.21539549612543,68.80952380952381,31.879787860931053,2.3991008291597415,13.45632653155772,recovered,27,0.6,low_valid_gaze_rate;high_data_loss;long_sampling_gap;gaze_out_of_bounds;incomplete_metadata
2025_04_12/024,2025_04_12,RB76,GP3,Acc 10min,warn,normalised,61.427997196751924,82.39852398523986,18.14516129032258,1.691526797625261,7.750419747725863,recovered,27,0.6,long_sampling_gap;gaze_out_of_bounds;incomplete_metadata
2025_04_12/025,2025_04_12,AW75,GP3,Calib & Acc,warn,normalised,61.838473276019904,78.7399958957521,21.27615921214608,2.0007192952706165,24.448534217595718,recovered,27,0.6,low_valid_gaze_rate;high_data_loss;gaze_out_of_bounds;gaze_video_duration_mismatch;incomplete_metadata;unknown_calibration_error_unit
2025_04_12/026,2025_04_12,JH71,GP3,Calib & Acc,warn,normalised,61.837350313242986,85.17227235438884,14.845191716218986,1.049859006143713,6.825299059535696,recovered,27,0.6,gaze_video_duration_mismatch;incomplete_metadata;unknown_calibration_error_unit
2025_04_12/027,2025_04_12,SS73,GP3,Acc 60min,warn,normalised,61.282369466758006,78.7763253449528,21.918301241677163,1.2776304700381176,12.972435455928869,recovered,27,0.6,low_valid_gaze_rate;high_data_loss;long_sampling_gap;gaze_out_of_bounds;incomplete_metadata
2025_04_12/028,2025_04_12,JH71,GP3,Acc 10min,warn,normalised,61.25554337959454,85.16260162601627,15.632436390261761,1.3652731122080917,5.520283557693114,recovered,27,0.6,long_sampling_gap;incomplete_metadata
2025_04_12/029,2025_04_12,RB76,GP3,Acc 60min,warn,normalised,61.366313612375684,80.03418803418803,20.563284696301324,,,missing_marker_intervals+missing_video_timestamps+video_file_too_small,0,0.6,high_data_loss;long_sampling_gap;gaze_out_of_bounds;missing_video_timestamps;unexpected_marker_count;incomplete_metadata
2025_04_12/030,2025_04_12,AW75,GP3,Acc 10min,warn,normalised,61.254681029809554,79.83991064780342,20.91093490687811,1.5758373640970078,11.762081265773348,recovered,27,0.6,low_valid_gaze_rate;high_data_loss;long_sampling_gap;incomplete_metadata
2025_04_12/031,2025_04_12,AW75,GP3,Acc 60min,warn,normalised,61.277120634358845,77.96578653774637,22.738161046618757,2.53759248107335,7.127094869274956,recovered,27,0.6,low_valid_gaze_rate;high_data_loss;long_sampling_gap;incomplete_metadata
2025_04_12/032,2025_04_12,JH71,GP3,Acc 60min,warn,normalised,61.22609589249518,84.6253709198813,16.213734851266985,0.8312269113866625,4.720512082656839,recovered,27,0.6,long_sampling_gap;incomplete_metadata
