session_id,date,subject_id,device_id,test_id,test_condition,recording_start_time,trial_number,marker_index,marker_id,target_key,target_label,marker_start_s,analysis_start_s,marker_end_s,target_settle_time_s,settle_excluded_valid_samples,valid_samples,coordinate_space,paper_qc_status,paper_qc_valid_samples,paper_qc_excluded_samples,paper_qc_mean_gaze_x,paper_qc_mean_gaze_y,paper_qc_gaze_direction_x_normalised,paper_qc_gaze_direction_y_normalised,paper_qc_gaze_direction_x_deg,paper_qc_gaze_direction_y_deg,paper_qc_omae_normalised,paper_qc_precision_rms_normalised,paper_qc_omae_deg,paper_qc_precision_rms_deg,target_x,target_y,mean_gaze_x,mean_gaze_y,target_x_centered,target_y_centered,gaze_direction_x_normalised,gaze_direction_y_normalised,error_x_normalised,error_y_normalised,centroid_error_normalised,omae_normalised,precision_rms_normalised,target_eccentricity_normalised,target_x_deg,target_y_deg,gaze_direction_x_deg,gaze_direction_y_deg,error_x_deg,error_y_deg,centroid_error_deg,omae_deg,precision_rms_deg,target_eccentricity_deg
2025_04_11/000,2025_04_11,CL98,GP3,Calib & Acc,,1744348101.5029204,1,0,inner_bottom_right_r1,"0.660000,0.660000",inner_bottom_right,44.01234769821167,44.61234769821167,45.80330157279968,0.6,0,43,normalised,included,43,0,0.6560723255813953,0.6626234883720931,0.15607232558139528,-0.16262348837209306,,,0.00668498302663049,0.0049928310098278665,,,0.66,0.66,0.6560723255813953,0.6626234883720931,0.16000000000000003,-0.16000000000000003,0.15607232558139528,-0.16262348837209306,-0.003927674418604754,-0.00262348837209303,0.00472327403154523,0.00668498302663049,0.0049928310098278665,0.22627416997969527,,,,,,,,,,
2025_04_11/000,2025_04_11,CL98,GP3,Calib & Acc,,1744348101.5029204,1,1,top_right_r1,"0.850000,0.150000",top_right,46.81025314331055,47.41025314331055,48.81579351425171,0.6,28,69,normalised,insufficient_in_bounds_samples,0,69,,,,,,,,,,,0.85,0.15,1.241896956521739,-3.356376811594203,0.35,0.35,0.741896956521739,3.856376811594203,0.39189695652173906,3.506376811594203,3.528209399882117,3.5283921318783977,0.046460418366327784,0.49497474683058323,,,,,,,,,,
2025_04_11/000,2025_04_11,CL98,GP3,Calib & Acc,,1744348101.5029204,1,2,top_left_r1,"0.150000,0.150000",top_left,50.00993084907532,50.60993084907532,51.61640477180481,0.6,17,30,normalised,included,17,13,0.23618470588235294,0.45581529411764704,-0.26381529411764704,0.04418470588235296,,,0.31776117956393557,0.012256727437372853,,,0.15,0.15,0.11549533333333334,-0.12488033333333334,-0.35,0.35,-0.38450466666666666,0.6248803333333334,-0.034504666666666656,0.27488033333333334,0.27703748785177473,0.637292759728419,0.8391455850336367,0.49497474683058323,,,,,,,,,,
2025_04_11/000,2025_04_11,CL98,GP3,Calib & Acc,,1744348101.5029204,1,3,centre_r1,"0.500000,0.500000",centre,53.00392270088196,53.60392270088196,54.60665202140808,0.6,34,55,normalised,included,55,0,0.49678381818181805,0.5871703636363637,-0.0032161818181819513,-0.08717036363636366,,,0.08727106228829468,0.013727857073655404,,,0.5,0.5,0.49678381818181805,0.5871703636363637,0.0,-0.0,-0.0032161818181819513,-0.08717036363636366,-0.0032161818181819513,-0.08717036363636366,0.08722967454933829,0.08727106228829468,0.013727857073655404,0.0,,,,,,,,,,
2025_04_11/000,2025_04_11,CL98,GP3,Calib & Acc,,1744348101.5029204,1,4,bottom_right_r1,"0.850000,0.850000",bottom_right,55.80359244346619,56.40359244346619,57.407294511795044,0.6,25,29,normalised,insufficient_in_bounds_samples,0,29,,,,,,,,,,,0.85,0.85,1.5180051724137933,-0.05607724137931035,0.35,-0.35,1.0180051724137933,0.5560772413793104,0.6680051724137933,0.9060772413793103,1.125702837216431,1.1308611656649648,0.7046265317541223,0.49497474683058323,,,,,,,,,,
2025_04_11/000,2025_04_11,CL98,GP3,Calib & Acc,,1744348101.5029204,1,5,inner_top_left_r1,"0.330000,0.330000",inner_top_left,58.81203269958496,59.41203269958496,60.20407509803772,0.6,37,31,normalised,included,30,1,0.30563566666666664,0.2625516666666667,-0.19436433333333336,0.23744833333333332,,,0.07538000144053192,0.04270662772659273,,,0.33,0.33,0.3056987096774193,0.2536532258064516,-0.16999999999999998,0.16999999999999998,-0.1943012903225807,0.2463467741935484,-0.024301290322580715,0.0763467741935484,0.08012104992511658,0.08404615186104035,0.06434756180703265,0.24041630560342614,,,,,,,,,,
2025_04_11/000,2025_04_11,CL98,GP3,Calib & Acc,,1744348101.5029204,1,6,inner_top_right_r1,"0.660000,0.330000",inner_top_right,61.40422224998474,62.00422224998474,63.003868103027344,0.6,37,57,normalised,included,57,0,0.6608021052631579,0.2511421052631579,0.16080210526315786,0.2488578947368421,,,0.07918426298931718,0.007371400036909889,,,0.66,0.33,0.6608021052631579,0.2511421052631579,0.16000000000000003,0.16999999999999998,0.16080210526315786,0.2488578947368421,0.0008021052631578263,0.07885789473684213,0.07886197394929992,0.07918426298931718,0.007371400036909889,0.23345235059857505,,,,,,,,,,
2025_04_11/000,2025_04_11,CL98,GP3,Calib & Acc,,1744348101.5029204,1,7,inner_bottom_left_r1,"0.330000,0.660000",inner_bottom_left,64.20823884010315,64.80823884010314,65.80785822868347,0.6,26,48,normalised,included,21,27,0.3229457142857142,0.6757785714285715,-0.17705428571428578,-0.17577857142857145,,,0.01793741218780206,0.0049988340137074585,,,0.33,0.66,0.06548645833333334,-0.11701625,-0.16999999999999998,-0.16000000000000003,-0.43451354166666667,0.61701625,-0.2645135416666667,0.7770162500000001,0.8208054985738741,0.834225787484152,0.7356376590955932,0.23345235059857505,,,,,,,,,,
2025_04_11/000,2025_04_11,CL98,GP3,Calib & Acc,,1744348101.5029204,1,8,bottom_left_r1,"0.150000,0.850000",bottom_left,67.20102953910828,67.80102953910827,68.80119943618774,0.6,37,53,normalised,included,53,0,0.12262415094339622,0.8017324528301886,-0.37737584905660376,-0.30173245283018857,,,0.05555806870503157,0.006672607574826549,,,0.15,0.85,0.12262415094339622,0.8017324528301886,-0.35,-0.35,-0.37737584905660376,-0.30173245283018857,-0.02737584905660377,0.04826754716981141,0.055490478654990204,0.05555806870503157,0.006672607574826549,0.49497474683058323,,,,,,,,,,
2025_04_11/000,2025_04_11,CL98,GP3,Calib & Acc,,1744348101.5029204,1,9,inner_bottom_right_r2,"0.660000,0.660000",inner_bottom_right,70.00163865089417,70.60163865089416,71.8062961101532,0.6,29,40,normalised,included,20,20,0.6529385000000001,0.753725,0.1529385000000001,-0.253725,,,0.09401603290354897,0.006193448776731752,,,0.66,0.66,0.8125024999999999,0.026597499999999986,0.16000000000000003,-0.16000000000000003,0.3125024999999999,0.4734025,0.15250249999999987,0.6334025000000001,0.6515026780547414,0.7450799363590472,0.7822375772056083,0.22627416997969527,,,,,,,,,,
