date,device_id,test_id,test_condition,session_count,subject_count,repeated_subject_count,median_sampling_hz,median_valid_rate,median_data_loss_rate,median_marker_precision_rms,median_marker_accuracy_rmse,median_marker_omae_deg,sessions_with_warnings,sampling_change_pct_from_baseline,valid_rate_change_points_from_baseline,precision_change_from_baseline
2025_04_11,GP3,Acc 10min,unknown,4,4,0,61.30123619416493,0.6715033318745343,0.3342341642219243,0.027038452423805724,0.2096921179144994,,4,0.0,0.0,0.0
2025_04_12,GP3,Acc 10min,unknown,9,9,0,61.25082237338716,0.7741461623209696,0.23331514820876523,0.015758373640970078,0.08881131192661924,,9,-0.08223948472766483,10.26428304464353,-0.011280078782835646
2025_04_11,GP3,Acc 60min,unknown,3,3,0,61.34989345445901,0.7726300784034212,0.2335703138546905,0.02953761031773402,0.33881602287924756,,3,0.0,0.0,0.0
2025_04_12,GP3,Acc 60min,unknown,9,9,0,61.282369466758006,0.7877632534495279,0.21918301241677163,0.016772875353947305,0.13214380993743294,,9,-0.11006374078078156,1.5133175046106673,-0.012764734963786713
2025_04_11,GP3,Calib & Acc,unknown,4,4,0,61.835519234433434,0.704037712646034,0.29613691481328697,0.028391609618696932,0.10960826459059134,,4,0.0,0.0,0.0
2025_04_12,GP3,Calib & Acc,unknown,10,10,0,61.839230890766665,0.8160835887826428,0.18466905936626116,0.019041861720048063,0.10632232026571363,,10,0.006002466509836624,11.204587613660877,-0.009349747898648869
2025_04_11,unknown,unknown,unknown,1,1,0,61.37846593238516,0.7085171360705802,0.2966144517433047,0.04416472233446057,0.9129048947677584,,1,0.0,0.0,0.0
