session_id,date,run_id,session_path,subject_id,device_id,test_id,trial_number,test_condition,visit_label,recording_start_time,recording_end_time,planned_duration_s,operator_id,device_model,device_serial,device_software_version,nominal_sampling_hz,calibration_method,validation_method,gaze_file,source_format,calibration_avg_error,calibration_valid_points,calibration_high_quality_samples,calibration_confidence_threshold,calibration_error_unit,calibration_status,calibration_source,display_width_px,display_height_px,display_width_mm,display_height_mm,viewing_distance_mm,display_model,display_refresh_hz,environment,ambient_illuminance_lux,head_support,target_presentation_s,target_settle_time_s,minimum_post_settle_valid_samples,notes,metadata_conflict_fields,metadata_read_error,has_gaze,has_video,has_recording_info,has_marker,has_calibration,has_log
2025_04_12/015,2025_04_12,015,2025_04_12/015,YR00,GP3,Calib & Acc,16,,,1744423489.911293,,,,,,,,,,GP3HD_data.csv,GP3HD,31.99,5.0,,,,,,1920.0,1080.0,,,,,,,,,,,,,,,True,True,True,True,True,True
2025_04_12/016,2025_04_12,016,2025_04_12/016,NM84,GP3,Acc 60min,17,,,1744423787.7483275,,,,,,,,,,GP3HD_data.csv,GP3HD,,,,,,,,1920.0,1080.0,,,,,,,,,,,,,,,True,True,True,True,True,True
2025_04_12/017,2025_04_12,017,2025_04_12/017,SS73,GP3,Calib & Acc,18,,,1744424185.711828,,,,,,,,,,GP3HD_data.csv,GP3HD,21.04,5.0,,,,,,1920.0,1080.0,,,,,,,,,,,,,,,True,True,True,True,True,True
2025_04_12/018,2025_04_12,018,2025_04_12/018,YR00,GP3,Acc 10min,19,,,1744424478.2458484,,,,,,,,,,GP3HD_data.csv,GP3HD,,,,,,,,1920.0,1080.0,,,,,,,,,,,,,,,True,True,True,True,True,True
2025_04_12/019,2025_04_12,019,2025_04_12/019,SS73,GP3,Acc 10min,20,,,1744425281.6677155,,,,,,,,,,GP3HD_data.csv,GP3HD,,,,,,,,1920.0,1080.0,,,,,,,,,,,,,,,True,True,True,True,True,True
2025_04_12/020,2025_04_12,020,2025_04_12/020,RB76,GP3,Calib & Acc,21,,,1744425607.4626734,,,,,,,,,,GP3HD_data.csv,GP3HD,27.96,5.0,,,,,,1920.0,1080.0,,,,,,,,,,,,,,,True,True,True,True,True,True
2025_04_12/021,2025_04_12,021,2025_04_12/021,SY91,GP3,Acc 10min,22,,,1744426223.246376,,,,,,,,,,GP3HD_data.csv,GP3HD,,,,,,,,1920.0,1080.0,,,,,,,,,,,,,,,True,True,True,True,True,True
2025_04_12/022,2025_04_12,022,2025_04_12/022,SY91,GP3,Acc 60min,23,,,1744426360.968299,,,,,,,,,,GP3HD_data.csv,GP3HD,,,,,,,,1920.0,1080.0,,,,,,,,,,,,,,,True,True,True,True,True,True
2025_04_12/023,2025_04_12,023,2025_04_12/023,YR00,GP3,Acc 60min,24,,,1744426907.2081916,,,,,,,,,,GP3HD_data.csv,GP3HD,,,,,,,,1920.0,1080.0,,,,,,,,,,,,,,,True,True,True,True,True,True
2025_04_12/024,2025_04_12,024,2025_04_12/024,RB76,GP3,Acc 10min,25,,,1744427105.25365,,,,,,,,,,GP3HD_data.csv,GP3HD,,,,,,,,1920.0,1080.0,,,,,,,,,,,,,,,True,True,True,True,True,True
2025_04_12/025,2025_04_12,025,2025_04_12/025,AW75,GP3,Calib & Acc,26,,,1744427620.3421986,,,,,,,,,,GP3HD_data.csv,GP3HD,85.09,5.0,,,,,,1920.0,1080.0,,,,,,,,,,,,,,,True,True,True,True,True,True
2025_04_12/026,2025_04_12,026,2025_04_12/026,JH71,GP3,Calib & Acc,27,,,1744427896.8806133,,,,,,,,,,GP3HD_data.csv,GP3HD,16.06,5.0,,,,,,1920.0,1080.0,,,,,,,,,,,,,,,True,True,True,True,True,True
2025_04_12/027,2025_04_12,027,2025_04_12/027,SS73,GP3,Acc 60min,28,,,1744428111.4956112,,,,,,,,,,GP3HD_data.csv,GP3HD,,,,,,,,1920.0,1080.0,,,,,,,,,,,,,,,True,True,True,True,True,True
2025_04_12/028,2025_04_12,028,2025_04_12/028,JH71,GP3,Acc 10min,29,,,1744428715.190672,,,,,,,,,,GP3HD_data.csv,GP3HD,,,,,,,,1920.0,1080.0,,,,,,,,,,,,,,,True,True,True,True,True,True
2025_04_12/029,2025_04_12,029,2025_04_12/029,RB76,GP3,Acc 60min,30,,,1744428909.497981,,,,,,,,,,GP3HD_data.csv,GP3HD,,,,,,,,1920.0,1080.0,,,,,,,,,,,,,,,True,True,True,False,True,True
2025_04_12/030,2025_04_12,030,2025_04_12/030,AW75,GP3,Acc 10min,31,,,1744429059.3938148,,,,,,,,,,GP3HD_data.csv,GP3HD,,,,,,,,1920.0,1080.0,,,,,,,,,,,,,,,True,True,True,True,True,True
2025_04_12/031,2025_04_12,031,2025_04_12/031,AW75,GP3,Acc 60min,32,,,1744430014.4408262,,,,,,,,,,GP3HD_data.csv,GP3HD,,,,,,,,1920.0,1080.0,,,,,,,,,,,,,,,True,True,True,True,True,True
2025_04_12/032,2025_04_12,032,2025_04_12/032,JH71,GP3,Acc 60min,33,,,1744430342.4534214,,,,,,,,,,GP3HD_data.csv,GP3HD,,,,,,,,1920.0,1080.0,,,,,,,,,,,,,,,True,True,True,True,True,True
