session_id,quality_status,valid_rate,data_loss_rate,estimated_missing_samples,longest_gap_s,duplicate_timestamps,negative_time_jumps,irregular_interval_pct,missing_coordinate_samples,out_of_bounds_samples,out_of_bounds_rate,marker_events,marker_coverage_rate,target_settle_time_s,marker_settle_excluded_samples,metadata_missing_fields,metadata_conflict_count,metadata_conflict_fields,metadata_read_error,duration_mismatch_fraction,quality_flags
2025_04_12/013,warn,0.8896410256410257,0.11035897435897436,0,0.02287912368774414,0,0,0.0,0,0,0.0,27,1.0,0.6,830.0,1,0,,,0.3070304409600239,gaze_video_duration_mismatch;incomplete_metadata;insufficient_calibration_points;unknown_calibration_error_unit
2025_04_12/014,warn,0.8669301712779973,0.14195230998509686,55,0.9125068187713623,0,0,0.00018825301204819278,0,0,0.0,27,0.9629629629629629,0.6,879.0,1,0,,,0.009960512928347267,long_sampling_gap;incomplete_metadata
2025_04_12/015,warn,0.5648338120640132,0.43539786710418377,2,0.026338577270507812,0,0,0.0004104247896572953,0,292,0.059909725071809604,27,0.9259259259259259,0.6,626.0,1,0,,,0.2911189038413058,low_valid_gaze_rate;high_data_loss;gaze_out_of_bounds;gaze_video_duration_mismatch;incomplete_metadata;unknown_calibration_error_unit
2025_04_12/016,warn,0.8156002212797344,0.19111192392099488,45,0.7482564449310303,0,0,0.00018443378827001107,0,914,0.1685413977503227,27,1.0,0.6,791.0,1,0,,,0.01067847304567065,long_sampling_gap;gaze_out_of_bounds;incomplete_metadata
2025_04_12/017,warn,0.8493741021957726,0.15080016413623307,1,0.025979280471801758,0,0,0.00020525451559934318,0,17,0.00348861071208701,27,1.0,0.6,797.0,1,0,,,0.2982142783075532,gaze_video_duration_mismatch;incomplete_metadata;unknown_calibration_error_unit
2025_04_12/018,warn,0.7741461623209696,0.23331514820876523,53,0.8950223922729492,0,0,0.00018365472910927456,0,267,0.049026808666911496,27,1.0,0.6,784.0,1,0,,,0.009914720642696911,low_valid_gaze_rate;high_data_loss;long_sampling_gap;gaze_out_of_bounds;incomplete_metadata
2025_04_12/019,warn,0.8066630256690334,0.201765447667087,58,0.966731071472168,0,0,0.0001820830298616169,0,65,0.0118332423083925,27,1.0,0.6,840.0,1,0,,,0.010123792474571684,high_data_loss;long_sampling_gap;gaze_out_of_bounds;incomplete_metadata
2025_04_12/020,warn,0.8465011286681715,0.15367254821501847,1,0.024831295013427734,0,0,0.00020525451559934318,0,7,0.0014364867638005335,27,1.0,0.6,768.0,1,0,,,0.30380190621937464,gaze_video_duration_mismatch;incomplete_metadata;unknown_calibration_error_unit
2025_04_12/021,warn,0.7580406654343808,0.24931356397583745,53,0.8913733959197998,0,0,0.00018487705675725643,0,363,0.06709796672828096,27,1.0,0.6,736.0,1,0,,,0.010042248925802846,low_valid_gaze_rate;high_data_loss;long_sampling_gap;gaze_out_of_bounds;incomplete_metadata
2025_04_12/022,warn,0.7130036280313157,0.2932046185879235,46,0.763211727142334,0,0,0.00019098548510313216,0,658,0.1256444529310674,27,1.0,0.6,757.0,1,0,,,0.01111778277903247,low_valid_gaze_rate;high_data_loss;long_sampling_gap;gaze_out_of_bounds;incomplete_metadata
2025_04_12/023,warn,0.6880952380952381,0.3187978786093105,51,0.8527348041534424,0,0,0.00019845207382417147,0,73,0.014484126984126985,27,0.9629629629629629,0.6,697.0,1,0,,,0.010407200214277993,low_valid_gaze_rate;high_data_loss;long_sampling_gap;gaze_out_of_bounds;incomplete_metadata
2025_04_12/024,warn,0.8239852398523986,0.1814516129032258,36,0.6043086051940918,0,0,0.00018453589223103894,0,64,0.011808118081180811,27,1.0,0.6,774.0,1,0,,,0.01572615972040541,long_sampling_gap;gaze_out_of_bounds;incomplete_metadata
2025_04_12/025,warn,0.787399958957521,0.2127615921214608,1,0.0258786678314209,0,0,0.00020525451559934318,0,734,0.1506258978042274,27,1.0,0.6,775.0,1,0,,,0.3186358929873204,low_valid_gaze_rate;high_data_loss;gaze_out_of_bounds;gaze_video_duration_mismatch;incomplete_metadata;unknown_calibration_error_unit
2025_04_12/026,warn,0.8517227235438884,0.14845191716218986,1,0.026676416397094727,0,0,0.00020512820512820512,0,6,0.0012305168170631665,27,1.0,0.6,814.0,1,0,,,0.26274159667177227,gaze_video_duration_mismatch;incomplete_metadata;unknown_calibration_error_unit
2025_04_12/027,warn,0.7877632534495279,0.21918301241677163,49,0.8245012760162354,0,0,0.00018158707100054475,0,688,0.12490922294843863,27,1.0,0.6,815.0,1,0,,,0.010434536792758091,low_valid_gaze_rate;high_data_loss;long_sampling_gap;gaze_out_of_bounds;incomplete_metadata
2025_04_12/028,warn,0.8516260162601627,0.1563243639026176,51,0.8504300117492676,0,0,0.00018480872297172427,0,2,0.0003695491500369549,27,1.0,0.6,878.0,1,0,,,0.009852717732295912,long_sampling_gap;incomplete_metadata
2025_04_12/029,warn,0.8003418803418804,0.20563284696301323,44,0.7413020133972168,0,0,0.00017096939647803043,0,332,0.05675213675213675,0,,0.6,0.0,1,0,,,,high_data_loss;long_sampling_gap;gaze_out_of_bounds;missing_video_timestamps;unexpected_marker_count;incomplete_metadata
2025_04_12/030,warn,0.7983991064780342,0.20910934906878112,51,0.8472890853881836,0,0,0.0001861850679575498,0,15,0.0027922561429635146,27,1.0,0.6,765.0,1,0,,,0.010073995773064412,low_valid_gaze_rate;high_data_loss;long_sampling_gap;incomplete_metadata
2025_04_12/031,warn,0.7796578653774637,0.22738161046618757,49,0.814255952835083,0,0,0.0001859773107680863,0,14,0.0026031982149497955,27,1.0,0.6,752.0,1,0,,,0.010524857032024298,low_valid_gaze_rate;high_data_loss;long_sampling_gap;incomplete_metadata
2025_04_12/032,warn,0.846253709198813,0.16213734851266984,54,0.8900909423828125,0,0,0.0001854943424225561,0,0,0.0,27,1.0,0.6,844.0,1,0,,,0.009766408562030371,long_sampling_gap;incomplete_metadata
