comparison_scope,date,run_id,subject_id,condition,target_id,target_x_deg,target_y_deg,gaze_x_deg,gaze_y_deg,marker_windows,visual_nearest_target_id,visual_target_error_deg,visual_qc_cutoff_deg,visual_qc_status
Calib & Acc,2025_04_11,000,CL98,Calib & Acc,1,-21.0,11.8125,-20.719701235294117,9.835546301470588,3,1,1.996725650565136,4.750563048246421,included
Calib & Acc,2025_04_11,000,CL98,Calib & Acc,2,21.0,11.8125,23.214414782608696,15.252102635869566,2,2,4.090782213967982,5.464972727119959,included
Calib & Acc,2025_04_11,000,CL98,Calib & Acc,3,-10.2,5.7375,-10.774279687500002,6.29447625,2,3,0.8000123139922053,5.857067376852974,included
Calib & Acc,2025_04_11,000,CL98,Calib & Acc,4,9.600000000000001,5.7375,9.502048351648352,8.532804807692308,1,4,2.797020467090389,6.4998798415524215,included
Calib & Acc,2025_04_11,000,CL98,Calib & Acc,5,0.0,-0.0,0.1878571220930234,-3.820718663699128,2,5,3.8253341560522425,9.086495530431277,included
Calib & Acc,2025_04_11,000,CL98,Calib & Acc,6,-10.2,-5.400000000000001,-17.407940368906456,5.63851658596838,3,1,13.183446164808744,4.963861704206112,target_mismatch
Calib & Acc,2025_04_11,000,CL98,Calib & Acc,7,9.600000000000001,-5.400000000000001,9.764391506572295,-5.740787127148634,2,7,0.3783654760457497,6.609789983794532,included
Calib & Acc,2025_04_11,000,CL98,Calib & Acc,8,-21.0,-11.8125,-20.644711822660096,-11.169093152347145,3,8,0.7349843947758998,6.31868568380908,included
Calib & Acc,2025_04_11,000,CL98,Calib & Acc,9,21.0,-11.8125,23.591159999999995,-5.9422274999999996,1,9,6.416713284061882,7.903808475534857,included
Calib & Acc,2025_04_11,003,LW03,Calib & Acc,1,-21.0,11.8125,-21.948508780661214,12.758107472004976,2,1,1.3393440178322615,4.750563048246421,included
Calib & Acc,2025_04_11,003,LW03,Calib & Acc,2,21.0,11.8125,20.107937810520728,12.541618564043121,3,2,1.1521236176430272,5.464972727119959,included
Calib & Acc,2025_04_11,003,LW03,Calib & Acc,3,-10.2,5.7375,-10.651692660083478,7.877644537619436,3,3,2.187291681755225,5.857067376852974,included
Calib & Acc,2025_04_11,003,LW03,Calib & Acc,4,9.600000000000001,5.7375,8.477475386975094,5.595232757894004,3,4,1.131504076450087,6.4998798415524215,included
Calib & Acc,2025_04_11,003,LW03,Calib & Acc,5,0.0,-0.0,-0.49951199867356905,-1.4075996504301689,3,5,1.4936026957360504,9.086495530431277,included
Calib & Acc,2025_04_11,003,LW03,Calib & Acc,6,-10.2,-5.400000000000001,-10.529939049873871,-6.243586959899378,3,6,0.9058138525900045,4.963861704206112,included
Calib & Acc,2025_04_11,003,LW03,Calib & Acc,7,9.600000000000001,-5.400000000000001,8.502665022137888,-6.290195030834915,3,7,1.413007872080979,6.609789983794532,included
Calib & Acc,2025_04_11,003,LW03,Calib & Acc,8,-21.0,-11.8125,-22.52721466707365,-11.45763803291109,3,8,1.5679003970313583,6.31868568380908,included
Calib & Acc,2025_04_11,003,LW03,Calib & Acc,9,21.0,-11.8125,19.941237805605248,-11.767430635062611,3,9,1.0597210160865222,7.903808475534857,included
Calib & Acc,2025_04_11,005,JL98,Calib & Acc,1,-21.0,11.8125,-21.628533836499322,12.58980440128901,2,1,0.9996283888965054,4.750563048246421,included
Calib & Acc,2025_04_11,005,JL98,Calib & Acc,2,21.0,11.8125,19.469839797901283,11.632862116206763,2,2,1.5406686903356277,5.464972727119959,included
Calib & Acc,2025_04_11,005,JL98,Calib & Acc,3,-10.2,5.7375,-9.490020638186573,6.610612968177855,3,3,1.1253430363233,5.857067376852974,included
Calib & Acc,2025_04_11,005,JL98,Calib & Acc,4,9.600000000000001,5.7375,11.651617573849153,3.6065614709851554,3,4,2.9580455851400647,6.4998798415524215,included
Calib & Acc,2025_04_11,005,JL98,Calib & Acc,5,0.0,-0.0,3.3513597619047615,-0.4028506250000003,3,5,3.3754852806340647,9.086495530431277,included
Calib & Acc,2025_04_11,005,JL98,Calib & Acc,6,-10.2,-5.400000000000001,-4.561153823088456,-7.391363905547226,3,6,5.980143510918966,4.963861704206112,robust_centroid_outlier
Calib & Acc,2025_04_11,005,JL98,Calib & Acc,7,9.600000000000001,-5.400000000000001,16.175490183792814,-2.048384856672932,3,7,7.380406169455375,6.609789983794532,robust_centroid_outlier
Calib & Acc,2025_04_11,005,JL98,Calib & Acc,8,-21.0,-11.8125,-19.88903026419678,-9.912532985741104,3,8,2.200938074808681,6.31868568380908,included
Calib & Acc,2025_04_11,005,JL98,Calib & Acc,9,21.0,-11.8125,26.14060131930349,-9.073920356732721,3,9,5.824568686739191,7.903808475534857,included
Calib & Acc,2025_04_11,009,PW78,Calib & Acc,1,-21.0,11.8125,-21.462278378976894,10.934393937080165,3,1,0.9923565676741796,4.750563048246421,included
Calib & Acc,2025_04_11,009,PW78,Calib & Acc,2,21.0,11.8125,22.118256699690402,13.054693054179566,3,2,1.6713891319062801,5.464972727119959,included
Calib & Acc,2025_04_11,009,PW78,Calib & Acc,3,-10.2,5.7375,-11.117876676294031,7.409327760257391,3,3,1.9072245942342039,5.857067376852974,included
Calib & Acc,2025_04_11,009,PW78,Calib & Acc,4,9.600000000000001,5.7375,10.267558945212494,8.168507949308756,3,4,2.520998729657669,6.4998798415524215,included
Calib & Acc,2025_04_11,009,PW78,Calib & Acc,5,0.0,-0.0,-0.1521913450292398,1.9000951315789472,3,5,1.9061803992675577,9.086495530431277,included
Calib & Acc,2025_04_11,009,PW78,Calib & Acc,6,-10.2,-5.400000000000001,-10.4715949115484,-3.637583911001789,3,6,1.7832201958083413,4.963861704206112,included
Calib & Acc,2025_04_11,009,PW78,Calib & Acc,7,9.600000000000001,-5.400000000000001,10.812871604938271,-3.909580902777778,3,7,1.921563586101236,6.609789983794532,included
Calib & Acc,2025_04_11,009,PW78,Calib & Acc,8,-21.0,-11.8125,-22.16568080211046,-10.363028518833902,3,8,1.8600482002149115,6.31868568380908,included
Calib & Acc,2025_04_11,009,PW78,Calib & Acc,9,21.0,-11.8125,22.408437668169,-10.167534637539879,3,9,2.165550209256504,7.903808475534857,included
Calib & Acc,2025_04_12,001,CL98test,Calib & Acc,1,-21.0,11.8125,-21.497423374925727,15.163018686497326,3,1,3.3872415742740087,4.750563048246421,included
Calib & Acc,2025_04_12,001,CL98test,Calib & Acc,2,21.0,11.8125,23.217597025641027,14.26508108653846,3,2,3.306492182688189,5.464972727119959,included
Calib & Acc,2025_04_12,001,CL98test,Calib & Acc,3,-10.2,5.7375,-10.205756788345694,9.019307594679242,3,3,3.2818126438153676,5.857067376852974,included
Calib & Acc,2025_04_12,001,CL98test,Calib & Acc,4,9.600000000000001,5.7375,12.250716930763568,8.233027135504036,3,4,3.6405982930108625,6.4998798415524215,included
Calib & Acc,2025_04_12,001,CL98test,Calib & Acc,5,0.0,-0.0,0.8152702618822009,-0.46116853911753813,3,5,0.9366653732156841,9.086495530431277,included
Calib & Acc,2025_04_12,001,CL98test,Calib & Acc,6,-10.2,-5.400000000000001,-8.48857327946468,-4.740019424199861,3,6,1.834272547958935,4.963861704206112,included
Calib & Acc,2025_04_12,001,CL98test,Calib & Acc,7,9.600000000000001,-5.400000000000001,10.508399625564968,-5.132886074496004,3,7,0.9468578187482669,6.609789983794532,included
Calib & Acc,2025_04_12,001,CL98test,Calib & Acc,8,-21.0,-11.8125,-18.850490717556678,-10.95602474095054,3,8,2.313858255095555,6.31868568380908,included
Calib & Acc,2025_04_12,001,CL98test,Calib & Acc,9,21.0,-11.8125,21.12202986697513,-11.281598250433776,3,9,0.5447457720133729,7.903808475534857,included
Calib & Acc,2025_04_12,002,MQ85,Calib & Acc,1,-21.0,11.8125,-20.204097592826407,12.237385965660835,3,1,0.9022132373005058,4.750563048246421,included
Calib & Acc,2025_04_12,002,MQ85,Calib & Acc,2,21.0,11.8125,18.86628582044828,12.40080864347357,3,2,2.2133330657643424,5.464972727119959,included
Calib & Acc,2025_04_12,002,MQ85,Calib & Acc,3,-10.2,5.7375,-11.154491268910695,8.227914132235126,3,3,2.667061328965494,5.857067376852974,included
Calib & Acc,2025_04_12,002,MQ85,Calib & Acc,4,9.600000000000001,5.7375,5.88928757336911,10.428342996394433,3,4,5.981086417196764,6.4998798415524215,included
Calib & Acc,2025_04_12,002,MQ85,Calib & Acc,5,0.0,-0.0,-5.65885236009581,6.16015174833577,3,3,8.364811988077566,9.086495530431277,target_mismatch
Calib & Acc,2025_04_12,002,MQ85,Calib & Acc,6,-10.2,-5.400000000000001,-10.555909820426487,-5.789317140151515,3,6,0.5274842517950354,4.963861704206112,included
