session_id,marker_index,marker_start_s,marker_end_s,marker_midpoint_s,frame_id,frame_time_s,frame_time_error_ms,detection_status,candidate_target_count,detected_x_px,detected_y_px,detected_radius_px,detected_x_normalised,detected_y_normalised,matched_target_id,target_x,target_y,normalised_match_offset,detection_confidence
2025_04_11/010,0,13.610810041427612,15.211916208267212,14.411363124847412,69,14.411636352539062,0.2732276916503906,recovered,1,1262.5,711.5,15.5,0.6575520833333334,0.6587962962962963,inner_bottom_right,0.66,0.66,0.002727856047018324,0.8181429301987784
2025_04_11/010,1,16.411906003952026,18.220054626464844,17.315980315208435,83,17.21759295463562,98.38736057281494,recovered,1,1627.5,161.5,21.600000381469727,0.84765625,0.14953703703703702,top_right,0.85,0.15,0.0023890372051467404,0.8407308529902173
2025_04_11/010,2,19.403263568878174,21.212172746658325,20.30771815776825,98,20.20508050918579,102.6376485824585,recovered,1,283.5,161.5,21.600000381469727,0.14765625,0.14953703703703702,top_left,0.15,0.15,0.0023890372051467677,0.8407308529902154
2025_04_11/010,3,22.415683031082153,24.203439474105835,23.309561252593994,114,23.402701377868652,93.1401252746582,recovered,1,955.5,539.5,11.600000381469727,0.49765625,0.49953703703703706,centre,0.5,0.5,0.002389037205146735,0.8407308529902177
2025_04_11/010,4,25.40284037590027,27.00256896018982,26.202704668045044,128,26.20375370979309,1.049041748046875,recovered,1,1627.5,917.5,13.600000381469727,0.84765625,0.8495370370370371,bottom_right,0.85,0.85,0.0023890372051467244,0.8407308529902184
2025_04_11/010,5,28.20288109779358,29.802736282348633,29.002808690071106,142,29.003438711166382,0.6300210952758789,recovered,1,628.5,355.5,15.5,0.32734375,0.32916666666666666,inner_top_left,0.33,0.33,0.0027839016697693577,0.8144065553487094
2025_04_11/010,6,31.002989053726196,32.60207200050354,31.802530527114868,156,31.802997589111328,0.46706199645996094,recovered,1,1262.5,353.5,13.600000381469727,0.6575520833333334,0.32731481481481484,inner_top_right,0.66,0.33,0.0036335265907493208,0.7577648939500453
2025_04_11/010,7,33.612828493118286,35.407153844833374,34.50999116897583,170,34.60382008552551,93.82891654968262,recovered,1,628.5,711.5,15.5,0.32734375,0.6587962962962963,inner_bottom_left,0.33,0.66,0.002916259019499153,0.8055827320333898
2025_04_11/010,8,36.602997064590454,38.40940618515015,37.5062016248703,184,37.40351724624634,102.6843786239624,recovered,1,283.5,917.5,23.600000381469727,0.14765625,0.8495370370370371,bottom_left,0.15,0.85,0.0023890372051467517,0.8407308529902165
2025_04_11/010,9,39.611597776412964,41.403719663619995,40.50765872001648,199,40.412744760513306,94.91395950317383,recovered,1,1262.5,711.5,17.600000381469727,0.6575520833333334,0.6587962962962963,inner_bottom_right,0.66,0.66,0.002727856047018324,0.8181429301987784
