session_id,marker_index,marker_start_s,marker_end_s,marker_midpoint_s,frame_id,frame_time_s,frame_time_error_ms,detection_status,candidate_target_count,detected_x_px,detected_y_px,detected_radius_px,detected_x_normalised,detected_y_normalised,matched_target_id,target_x,target_y,normalised_match_offset,detection_confidence
2025_04_11/005,0,41.402835845947266,43.213340044021606,42.308087944984436,208,42.20409536361694,103.99258136749268,recovered,1,1262.5,710.5,15.199999809265137,0.6575520833333334,0.6578703703703703,inner_bottom_right,0.66,0.66,0.00324462915698253,0.783691389534498
2025_04_11/005,1,44.20727038383484,46.20179486274719,45.204532623291016,223,45.22403860092163,19.505977630615234,recovered,1,1627.5,161.5,17.600000381469727,0.84765625,0.14953703703703702,top_right,0.85,0.15,0.0023890372051467404,0.8407308529902173
2025_04_11/005,2,47.40699744224548,49.00427770614624,48.20563757419586,238,48.20154666900635,4.09090518951416,recovered,1,283.5,161.5,13.600000381469727,0.14765625,0.14953703703703702,top_left,0.15,0.15,0.0023890372051467677,0.8407308529902154
2025_04_11/005,3,50.207497358322144,52.009910106658936,51.10870373249054,253,51.21182036399841,103.11663150787354,recovered,1,955.5,539.5,13.600000381469727,0.49765625,0.49953703703703706,centre,0.5,0.5,0.002389037205146735,0.8407308529902177
2025_04_11/005,4,53.21142101287842,54.80967688560486,54.01054894924164,267,54.00974154472351,0.8074045181274414,recovered,1,1627.5,915.5,13.600000381469727,0.84765625,0.8476851851851852,bottom_right,0.85,0.85,0.0032941663117374374,0.7803889125508375
2025_04_11/005,5,56.01487851142883,57.6098530292511,56.812365770339966,281,56.811389207839966,0.9765625,recovered,1,628.5,355.5,15.5,0.32734375,0.32916666666666666,inner_top_left,0.33,0.33,0.0027839016697693577,0.8144065553487094
2025_04_11/005,6,58.81220078468323,60.41321516036987,59.61270797252655,295,59.61048889160156,2.219080924987793,recovered,1,1262.5,355.5,17.600000381469727,0.6575520833333334,0.32916666666666666,inner_top_right,0.66,0.33,0.0025858732473555027,0.8276084501762998
2025_04_11/005,7,61.61092257499695,63.21018576622009,62.41055417060852,309,62.41190457344055,1.35040283203125,recovered,1,628.5,711.5,17.600000381469727,0.32734375,0.6587962962962963,inner_bottom_left,0.33,0.66,0.002916259019499153,0.8055827320333898
2025_04_11/005,8,64.60342454910278,66.20267105102539,65.40304780006409,324,65.40136814117432,1.6796588897705078,recovered,1,283.5,917.5,17.600000381469727,0.14765625,0.8495370370370371,bottom_left,0.15,0.85,0.0023890372051467517,0.8407308529902165
2025_04_11/005,9,67.4070930480957,69.2138364315033,68.3104647397995,339,68.40971851348877,99.25377368927002,recovered,1,1263.5,711.5,10.300000190734863,0.6580729166666667,0.6587962962962963,inner_bottom_right,0.66,0.66,0.0022721251681897332,0.8485249887873512
2025_04_11/005,10,70.41141533851624,71.99378395080566,71.20259964466095,353,71.19765663146973,4.9430131912231445,recovered,1,283.5,917.5,15.5,0.14765625,0.8495370370370371,bottom_left,0.15,0.85,0.0023890372051467517,0.8407308529902165
2025_04_11/005,11,73.4018304347992,75.00471377372742,74.2032721042633,368,74.20639944076538,3.1273365020751953,recovered,1,1627.5,161.5,15.5,0.84765625,0.14953703703703702,top_right,0.85,0.15,0.0023890372051467404,0.8407308529902173
2025_04_11/005,12,76.20239233970642,77.80287337303162,77.00263285636902,382,77.00251412391663,0.11873245239257812,recovered,1,955.5,539.5,17.600000381469727,0.49765625,0.49953703703703706,centre,0.5,0.5,0.002389037205146735,0.8407308529902177
2025_04_11/005,13,79.19453692436218,80.79434394836426,79.99444043636322,397,79.99950456619263,5.064129829406738,recovered,1,627.5,710.5,18.799999237060547,0.3268229166666667,0.6578703703703703,inner_bottom_left,0.33,0.66,0.003824811219699761,0.7450125853533492
2025_04_11/005,14,82.20270824432373,83.80122828483582,83.00196826457977,412,83.00298476219177,1.0164976119995117,recovered,1,1262.5,355.5,17.600000381469727,0.6575520833333334,0.32916666666666666,inner_top_right,0.66,0.33,0.0025858732473555027,0.8276084501762998
2025_04_11/005,15,85.00526142120361,86.79534482955933,85.90030312538147,427,85.99732637405396,97.02324867248535,recovered,1,628.5,355.5,11.600000381469727,0.32734375,0.32916666666666666,inner_top_left,0.33,0.33,0.0027839016697693577,0.8144065553487094
2025_04_11/005,16,88.2029778957367,89.99404573440552,89.0985118150711,442,89.00220155715942,96.31025791168213,recovered,1,1627.5,917.5,23.600000381469727,0.84765625,0.8495370370370371,bottom_right,0.85,0.85,0.0023890372051467244,0.8407308529902184
2025_04_11/005,17,91.19414925575256,93.0024766921997,92.09831297397614,457,91.99631357192993,101.99940204620361,recovered,1,284.5,160.5,22.799999237060547,0.14817708333333332,0.1486111111111111,top_left,0.15,0.15,0.0022917324275076568,0.8472178381661561
2025_04_11/005,18,94.20530724525452,95.9936785697937,95.09949290752411,472,95.00716066360474,92.33224391937256,recovered,1,628.5,711.5,21.600000381469727,0.32734375,0.6587962962962963,inner_bottom_left,0.33,0.66,0.002916259019499153,0.8055827320333898
