frame_id,time_s
0,0.6277453899383545
1,0.8105349540710449
2,1.0217711925506592
3,1.2106337547302246
4,1.4235262870788574
5,1.6135294437408447
6,1.823061227798462
7,2.0122904777526855
8,2.2220304012298584
9,2.411357879638672
10,2.6196951866149902
11,2.810443639755249
12,3.0190722942352295
13,3.210177183151245
14,3.4183571338653564
15,3.611307382583618
16,3.820028781890869
17,4.0120110511779785
18,4.219051361083984
19,4.410689115524292
20,4.619010925292969
21,4.812153100967407
22,5.018797874450684
23,5.212401628494263
24,5.421908855438232
25,5.613431692123413
26,5.818317651748657
27,6.010245323181152
28,6.218764781951904
29,6.41205096244812
30,6.619011640548706
31,6.810838937759399
32,7.019932985305786
33,7.211688041687012
34,7.419249534606934
35,7.611223459243774
36,7.818228244781494
37,8.012266874313354
38,8.220823764801025
39,8.411731243133545
40,8.618385076522827
41,8.811808586120605
42,9.018943786621094
43,9.212758541107178
44,9.418308734893799
45,9.612167596817017
46,9.819980382919312
47,10.010609865188599
48,10.22302794456482
49,10.410062551498413
50,10.619468450546265
51,10.811731815338135
52,11.019188165664673
53,11.212018251419067
54,11.419013500213623
55,11.61025357246399
56,11.821594476699829
57,12.011065483093262
58,12.218569993972778
59,12.410634279251099
60,12.621207237243652
61,12.811300992965698
62,13.018596887588501
63,13.21001648902893
64,13.420682430267334
65,13.609439134597778
66,13.817364931106567
67,14.011571645736694
68,14.21792483329773
69,14.410529851913452
70,14.618647336959839
71,14.808713674545288
72,15.019825220108032
73,15.210146188735962
74,15.41831660270691
75,15.610148906707764
76,15.820669174194336
77,16.011413097381592
78,16.220494031906128
79,16.40976572036743
80,16.618879795074463
81,16.80974531173706
82,17.017221927642822
83,17.212016105651855
84,17.41925811767578
85,17.60970449447632
86,17.818753242492676
87,18.01220679283142
88,18.21835947036743
89,18.41031527519226
90,18.61915159225464
91,18.811748504638672
92,19.01878070831299
93,19.21005415916443
94,19.421002864837646
95,19.611166954040527
96,19.818259716033936
97,20.010183095932007
98,20.218886852264404
99,20.409915685653687
100,20.618635892868042
101,20.80931305885315
102,21.019328117370605
103,21.211191654205322
104,21.419095754623413
105,21.610336780548096
106,21.81890106201172
107,22.010206699371338
108,22.21922516822815
109,22.41035485267639
110,22.61847949028015
111,22.812955379486084
112,23.019237518310547
113,23.210558652877808
114,23.41924500465393
115,23.61068296432495
116,23.8185772895813
117,24.0100576877594
118,24.218760013580322
119,24.41011381149292
120,24.6208393573761
121,24.812203884124756
122,25.020456075668335
123,25.21067786216736
124,25.42202067375183
125,25.61034321784973
126,25.817925930023193
127,26.010711908340454
128,26.220120906829834
129,26.4105544090271
130,26.620612382888794
131,26.809898138046265
132,27.01837944984436
133,27.210572481155396
134,27.418969869613647
135,27.611730098724365
136,27.82116174697876
137,28.010385751724243
138,28.218284368515015
139,28.410597801208496
140,28.618428945541382
141,28.81009030342102
142,29.020116090774536
143,29.210526943206787
144,29.419705390930176
145,29.610508680343628
146,29.818087339401245
147,30.012393474578857
148,30.21826982498169
149,30.410399436950684
150,30.620238780975342
151,30.813344717025757
152,31.019449472427368
153,31.209800004959106
154,31.419540643692017
155,31.612669706344604
156,31.818342685699463
157,32.012760162353516
158,32.22242093086243
159,32.41089940071106
160,32.6175057888031
161,32.81007957458496
162,33.00289177894592
163,33.210015535354614
164,33.40423011779785
165,33.6108238697052
166,33.804951190948486
167,34.01033592224121
168,34.201903104782104
169,34.40964722633362
170,34.603102684020996
171,34.81092119216919
172,35.00406098365784
173,35.20978927612305
174,35.40222382545471
175,35.610193967819214
176,35.8020761013031
177,36.00989317893982
178,36.204028367996216
179,36.411195278167725
180,36.60217499732971
181,36.81380224227905
182,37.00212073326111
183,37.209428787231445
184,37.402183055877686
185,37.610334396362305
186,37.80262637138367
187,38.01218366622925
188,38.20357632637024
189,38.41012477874756
190,38.602853298187256
191,38.81017231941223
192,39.00568962097168
193,39.212952852249146
194,39.40428137779236
195,39.61100697517395
196,39.80284118652344
197,40.00995135307312
198,40.201743841171265
199,40.412912368774414
200,40.60318112373352
201,40.810214042663574
202,41.00339317321777
203,41.210384368896484
204,41.402913331985474
205,41.610573530197144
206,41.802759885787964
207,42.01019549369812
208,42.202378034591675
209,42.41079378128052
210,42.6031596660614
211,42.80944538116455
212,43.00235319137573
213,43.20924520492554
214,43.40275764465332
215,43.61160898208618
216,43.80233073234558
217,44.0116446018219
218,44.20358657836914
219,44.40997910499573
220,44.603055000305176
221,44.81131958961487
222,45.00356912612915
223,45.210426568984985
224,45.40269589424133
225,45.61110472679138
226,45.803285121917725
227,46.00894117355347
228,46.203012466430664
229,46.409812688827515
230,46.602604150772095
231,46.80982780456543
232,47.00333118438721
233,47.21113204956055
234,47.40216517448425
235,47.60963678359985
236,47.80308651924133
237,48.01030254364014
238,48.20435619354248
239,48.41121006011963
240,48.60308003425598
241,48.811721086502075
242,49.00358009338379
243,49.20994973182678
244,49.40283703804016
245,49.611002922058105
246,49.802988052368164
247,50.01094841957092
248,50.203771114349365
249,50.40957283973694
250,50.60201096534729
251,50.81004238128662
252,51.004404067993164
253,51.21136713027954
254,51.4030659198761
255,51.610074281692505
256,51.802865505218506
257,52.01032209396362
258,52.20228385925293
259,52.40982174873352
260,52.60295748710632
261,52.809898853302
262,53.002925395965576
263,53.20986199378967
264,53.40165948867798
265,53.60944890975952
266,53.80252718925476
267,54.009881258010864
268,54.20344638824463
269,54.411049604415894
270,54.60142135620117
271,54.81177997589111
272,55.00171780586243
273,55.2098433971405
274,55.402045488357544
275,55.61109375953674
276,55.80263948440552
277,56.01126718521118
278,56.20301175117493
279,56.409520864486694
280,56.603111743927
281,56.809863567352295
282,57.00222444534302
283,57.211363792419434
284,57.40300178527832
285,57.61034297943115
286,57.80250096321106
287,58.010167598724365
288,58.2028374671936
289,58.41030216217041
290,58.602872371673584
291,58.80979371070862
292,59.00371956825256
293,59.20972800254822
294,59.403974294662476
295,59.6102499961853
296,59.802892446517944
297,60.01143836975098
298,60.20234680175781
299,60.41147041320801
300,60.6033353805542
301,60.81107425689697
302,61.00200128555298
303,61.20984196662903
304,61.40463876724243
305,61.609445333480835
306,61.803473234176636
307,62.010225772857666
308,62.202290296554565
309,62.4103741645813
310,62.603113651275635
311,62.81037974357605
312,63.00287199020386
313,63.21077561378479
314,63.40492558479309
315,63.60986518859863
316,63.80114197731018
317,64.01158738136292
318,64.20222043991089
319,64.410325050354
320,64.60275626182556
321,64.80934381484985
322,65.00422048568726
323,65.21000814437866
324,65.40228271484375
325,65.6097993850708
326,65.80260705947876
327,66.01076650619507
328,66.20331072807312
329,66.41137528419495
330,66.60120582580566
331,66.80976676940918
332,67.00290703773499
333,67.21015119552612
334,67.40220665931702
335,67.61042642593384
336,67.80289506912231
337,68.01100277900696
338,68.20334577560425
339,68.4094557762146
340,68.60223722457886
341,68.80991196632385
342,69.00326132774353
343,69.21042537689209
344,69.40343904495239
345,69.61187934875488
346,69.80163049697876
347,70.01017045974731
348,70.202467918396
349,70.41198992729187
350,70.60226655006409
351,70.81045174598694
352,71.00366568565369
353,71.21008682250977
354,71.40269112586975
355,71.61024761199951
356,71.80326199531555
357,72.01004481315613
358,72.20233583450317
359,72.41246700286865
360,72.60453033447266
361,72.79325246810913
362,73.0022451877594
363,73.19488477706909
364,73.40334415435791
365,73.59598708152771
366,73.80258059501648
367,73.99420666694641
368,74.20524382591248
369,74.39525437355042
370,74.60302710533142
371,74.79414772987366
372,75.00411105155945
373,75.19477677345276
374,75.4024920463562
375,75.59377145767212
376,75.80201411247253
377,75.9938793182373
378,76.20249629020691
379,76.39487099647522
380,76.60312867164612
381,76.79465389251709
382,77.00453639030457
383,77.19608044624329
384,77.40233659744263
385,77.5938868522644
386,77.80531239509583
387,77.99626731872559
388,78.20270466804504
389,78.39380168914795
390,78.6021237373352
391,78.79448294639587
392,79.00229787826538
393,79.19411897659302
394,79.40356040000916
395,79.59443426132202
396,79.80405139923096
397,79.99420523643494
398,80.2019362449646
399,80.39370799064636
400,80.6025640964508
401,80.7966775894165
402,81.0017032623291
403,81.1939423084259
404,81.40669679641724
405,81.59361338615417
406,81.80261611938477
407,81.99386882781982
408,82.20403504371643
409,82.39387345314026
410,82.60380911827087
411,82.79429054260254
412,83.00283980369568
413,83.19381737709045
414,83.40272378921509
415,83.59420490264893
416,83.80462884902954
417,83.99461126327515
418,84.20293688774109
419,84.39428949356079
420,84.60194134712219
421,84.79471826553345
422,85.00195670127869
423,85.19522166252136
424,85.40205001831055
425,85.59456849098206
426,85.80321717262268
427,85.99370694160461
428,86.20203638076782
429,86.39369559288025
430,86.60255336761475
431,86.79531383514404
432,87.00192093849182
433,87.1939685344696
434,87.405264377594
435,87.59549736976624
436,87.8022792339325
437,87.99340796470642
438,88.20406436920166
439,88.39399790763855
440,88.6021478176117
441,88.79439663887024
442,89.00347185134888
443,89.19337558746338
444,89.40276670455933
445,89.59526872634888
446,89.80298709869385
447,89.99439311027527
448,90.20320439338684
449,90.39503788948059
450,90.60295128822327
451,90.79308533668518
452,91.00310897827148
453,91.19453001022339
454,91.40238857269287
455,91.5949215888977
456,91.80289459228516
457,91.99341225624084
458,92.20294070243835
459,92.39332485198975
460,92.60153436660767
461,92.79700088500977
462,93.00262761116028
463,93.19365167617798
464,93.40362858772278
465,93.5962917804718
466,93.80220890045166
467,93.99430513381958
468,94.20408630371094
469,94.39715051651001
470,94.6026303768158
471,94.79405522346497
472,95.00228381156921
